ENSP,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000451470,True,False,False,True
ENSP00000507566,True,False,False,True
ENSP00000450681,True,False,False,True
ENSP00000481526,True,False,False,True
ENSP00000451166,True,False,False,True
ENSP00000375892,True,False,False,True
ENSP00000399532,True,False,False,True
ENSP00000470822,True,False,False,True
ENSP00000375719,True,False,False,True
ENSP00000463368,True,False,False,True
ENSP00000462469,True,False,False,True
ENSP00000309428,True,False,False,True
ENSP00000472382,True,False,False,True
ENSP00000471369,True,False,False,True
ENSP00000463262,True,False,False,True
ENSP00000462919,True,False,False,True
ENSP00000472371,True,False,False,True
ENSP00000462776,True,False,False,True
ENSP00000463086,True,False,False,True
ENSP00000396968,True,False,False,True
ENSP00000463686,True,False,False,True
ENSP00000470604,True,False,False,True
ENSP00000404083,True,False,False,True
ENSP00000375891,True,False,False,True
ENSP00000407999,True,False,False,True
ENSP00000462022,True,False,False,True
ENSP00000500412,True,False,False,True
ENSP00000403842,True,False,False,True
ENSP00000351095,True,False,False,True
ENSP00000396532,True,False,False,True
ENSP00000462715,True,False,False,True
ENSP00000463806,True,False,False,True
ENSP00000392458,True,False,False,True
ENSP00000403890,True,False,False,True
ENSP00000336943,True,False,False,True
ENSP00000355498,True,False,False,True
ENSP00000500582,True,False,False,True
ENSP00000505276,True,False,False,True
ENSP00000499842,True,False,False,True
ENSP00000500597,True,False,False,True
ENSP00000355497,True,False,False,True
ENSP00000506399,True,False,False,True
ENSP00000505337,True,False,False,True
ENSP00000263826,True,False,False,True
ENSP00000506695,True,False,False,True
ENSP00000506535,True,False,False,True
ENSP00000500134,True,False,False,True
ENSP00000499914,True,False,False,True
ENSP00000504988,True,False,False,True
ENSP00000403349,False,True,False,True
ENSP00000261733,False,True,False,True
ENSP00000448179,False,True,False,True
ENSP00000474669,False,True,False,True
ENSP00000493203,True,True,False,True
ENSP00000373700,True,True,False,True
ENSP00000414027,True,True,False,True
ENSP00000387488,True,True,False,True
ENSP00000482733,True,True,False,True
ENSP00000364003,False,False,True,True
ENSP00000339620,False,False,False,True
ENSP00000430368,False,False,False,True
ENSP00000289734,False,False,False,True
ENSP00000265709,False,False,False,True
ENSP00000428750,False,False,False,True
ENSP00000319123,False,False,False,True
ENSP00000430174,False,False,False,True
ENSP00000516136,False,False,False,True
ENSP00000493840,False,False,False,True
ENSP00000516137,False,False,False,True
ENSP00000297744,False,False,False,True
ENSP00000335031,False,False,False,True
ENSP00000428315,False,False,False,True
ENSP00000426541,False,False,True,True
ENSP00000481752,False,False,True,True
ENSP00000423224,False,False,True,True
