,degree_mean,cancer_density,n_tsg_edges,n_oncogene_edges,n_tsg_oncogene_edges
0,78.99151343705799,0.004467666515741012,209,200,445
1,78.57567185289957,0.004303384607987306,206,212,381
2,78.78925035360679,0.004139102700233601,191,205,366
3,78.7949080622348,0.004251295222601985,211,198,389
4,79.08203677510608,0.004095027066446022,183,190,410
5,78.17397454031118,0.004163143955026826,187,196,388
6,78.36916548797737,0.004050951432658442,192,191,395
7,79.15558698727015,0.004139102700233601,199,200,396
8,78.87553041018387,0.004139102700233601,209,193,370
9,79.09052333804809,0.004343453365976015,208,210,426
10,78.57001414427157,0.004139102700233601,192,196,365
11,78.68741159830269,0.004123075197038117,205,192,387
12,78.6916548797737,0.004247288346803114,195,203,401
13,78.77793493635077,0.004219240216211018,216,198,396
14,79.08203677510608,0.004303384607987306,196,187,413
15,78.73691654879774,0.003946772661887799,176,201,379
16,79.2065063649222,0.004335439614378273,202,227,380
17,78.4045261669024,0.004171157706624568,205,179,387
18,78.7015558698727,0.004151123327630213,214,179,378
19,78.2022630834512,0.004038930805261829,193,204,375
20,79.28005657708628,0.004423590881953432,200,210,402
21,78.46251768033946,0.003966807040882154,188,169,356
22,78.42149929278642,0.004379515248165853,214,206,412
23,78.80480905233381,0.004223247092009889,211,197,390
24,78.8939179632249,0.004111054569641505,205,207,362
25,78.6916548797737,0.0041871852098200515,217,195,386
26,78.13578500707213,0.00427533647739521,212,200,391
27,78.83451202263083,0.0043194121111827894,204,204,388
28,78.42998585572843,0.0041871852098200515,200,203,407
29,79.54596888260255,0.0045277696527240745,217,204,433
30,78.27864214992928,0.00413509582443473,191,195,380
31,78.90664780763791,0.004291363980590694,207,219,411
32,78.54314002828855,0.004199205837216664,204,226,383
33,79.76237623762377,0.004139102700233601,195,196,374
34,78.91513437057992,0.004038930805261829,213,181,367
35,78.61810466760961,0.00427533647739521,231,209,390
36,78.6973125884017,0.004050951432658442,180,172,370
37,78.74823196605375,0.004139102700233601,191,191,385
38,78.83168316831683,0.004038930805261829,190,175,381
39,78.95332390381895,0.0040589651842561835,196,197,376
40,78.86562942008487,0.004143109576032472,190,199,382
41,78.58840169731259,0.00413509582443473,193,168,383
42,78.84441301272985,0.00432341898698166,188,212,369
43,78.42432814710043,0.004111054569641505,196,201,369
44,78.94625176803395,0.004531776528522945,242,217,439
45,78.97736916548797,0.004091020190647151,202,197,393
46,78.68175388967468,0.004335439614378273,234,184,405
47,78.8019801980198,0.004151123327630213,206,197,406
48,78.44695898161245,0.004267322725797469,200,190,425
49,78.24186704384724,0.004215233340412147,212,199,384
50,78.67751060820368,0.004026910177865216,185,177,373
51,78.89108910891089,0.004183178334021181,206,166,357
52,78.2998585572843,0.004363487744970369,194,190,403
53,79.00565770862801,0.004435611509350045,216,193,405
